hours,price
400.0,17.57
401.0,22.41
402.0,31.38
403.0,23.14
404.0,18.65
405.0,18.12
406.0,17.3
407.0,16.55
408.0,15.25
409.0,11.95
410.0,10.18
411.0,9.35
412.0,9.67
413.0,12.47
414.0,15.42
415.0,19.36
416.0,21.71
417.0,21.2
418.0,21.76
419.0,19.27
420.0,18.36
421.0,18.26
422.0,18.44
423.0,17.81
424.0,17.81
425.0,19.51
426.0,28.16
427.0,34.18
428.0,29.35
429.0,31.83
430.0,27.36
431.0,23.62
432.0,22.01
433.0,22.43
434.0,21.03
435.0,22.24
436.0,21.51
437.0,21.6
438.0,23.14
439.0,37.91
440.0,40.99
441.0,35.22
442.0,33.99
443.0,30.47
444.0,24.85
445.0,21.09
446.0,19.97
447.0,18.63
448.0,18.35
449.0,20.15
450.0,33.93
451.0,27.56
452.0,24.22
453.0,23.5
454.0,21.82
455.0,19.06
456.0,17.03
457.0,16.63
458.0,15.24
459.0,14.82
460.0,15.0
461.0,15.57
462.0,16.68
463.0,21.22
464.0,21.48
465.0,21.75
466.0,26.14
467.0,27.91
468.0,24.36
469.0,22.35
470.0,21.0
471.0,19.37
472.0,18.25
473.0,21.01
474.0,36.51
475.0,26.0
476.0,20.84
477.0,20.31
478.0,19.8
479.0,18.43
480.0,17.3
481.0,17.9
482.0,16.58
483.0,16.5
484.0,16.42
485.0,17.25
486.0,20.4
487.0,25.26
488.0,25.8
489.0,25.44
490.0,26.12
491.0,24.48
492.0,22.33
493.0,23.14
494.0,22.4
495.0,21.64
496.0,21.81
497.0,25.06
498.0,44.07
499.0,31.64
500.0,22.65
501.0,21.93
502.0,21.8
503.0,21.35
504.0,19.6
505.0,21.47
506.0,18.11
507.0,17.83
508.0,17.65
509.0,17.53
510.0,18.35
511.0,21.24
512.0,21.58
513.0,27.93
514.0,32.67
515.0,24.62
516.0,21.53
517.0,18.58
518.0,16.85
519.0,15.52
520.0,15.98
521.0,17.76
522.0,29.31
523.0,23.45
524.0,19.2
525.0,17.94
526.0,18.36
527.0,17.53
528.0,14.86
529.0,16.85
530.0,15.55
531.0,16.0
532.0,17.06
533.0,17.39
534.0,17.93
535.0,19.37
536.0,20.7
537.0,20.91
538.0,22.52
539.0,22.82
540.0,22.74
541.0,21.39
542.0,19.34
543.0,18.71
544.0,18.71
545.0,19.37
546.0,27.0
547.0,26.2
548.0,21.34
549.0,21.81
550.0,19.56
551.0,18.36
552.0,14.68
553.0,9.84
554.0,4.16
555.0,3.76
556.0,3.52
557.0,5.86
558.0,7.9
559.0,12.63
560.0,15.72
561.0,9.87
562.0,4.62
563.0,3.95
564.0,3.18
565.0,3.57
566.0,3.64
567.0,4.22
568.0,6.47
569.0,12.68
570.0,24.48
571.0,30.56
572.0,22.13
573.0,19.98
574.0,19.97
575.0,17.45
576.0,17.16
577.0,18.34
578.0,18.06
579.0,18.17
580.0,17.73
581.0,18.48
582.0,20.21
583.0,35.36
584.0,34.71
585.0,27.18
586.0,26.09
587.0,25.14
588.0,19.06
589.0,19.09
590.0,17.66
591.0,17.53
592.0,17.28
593.0,18.95
594.0,28.4
595.0,26.01
596.0,20.66
597.0,21.15
598.0,19.23
599.0,18.91
600.0,16.92
601.0,21.11
602.0,17.46
603.0,17.14
604.0,16.53
605.0,16.74
606.0,19.06
607.0,23.48
608.0,25.93
609.0,25.0
610.0,22.57
611.0,21.5
612.0,19.2
613.0,19.63
614.0,18.12
615.0,18.35
616.0,18.64
617.0,20.82
618.0,47.58
619.0,45.53
620.0,31.23
621.0,29.14
622.0,22.45
623.0,20.47
624.0,19.33
625.0,19.08
626.0,18.75
627.0,18.74
628.0,19.16
629.0,20.75
630.0,26.81
631.0,54.59
632.0,54.88
633.0,36.38
634.0,30.95
635.0,26.56
636.0,21.27
637.0,20.83
638.0,18.49
639.0,18.21
640.0,17.8
641.0,18.66
642.0,27.89
643.0,27.89
644.0,20.84
645.0,23.58
646.0,21.89
647.0,19.75
648.0,18.69
649.0,17.14
650.0,16.74
651.0,16.68
652.0,16.81
653.0,17.24
654.0,19.42
655.0,31.2
656.0,31.53
657.0,23.09
658.0,17.18
659.0,13.76
660.0,12.47
661.0,14.25
662.0,13.92
663.0,13.42
664.0,13.92
665.0,15.99
666.0,23.83
667.0,20.79
668.0,18.01
669.0,17.82
670.0,15.52
671.0,11.23
672.0,10.19
673.0,2.02
674.0,0.33
675.0,1.27
676.0,1.98
677.0,3.22
678.0,4.19
679.0,5.46
680.0,7.29
681.0,6.14
682.0,3.19
683.0,0.92
684.0,0.89
685.0,0.73
686.0,-0.13
687.0,0.29
688.0,0.46
689.0,6.32
690.0,17.95
691.0,26.04
692.0,21.93
693.0,23.96
694.0,23.31
695.0,20.22
696.0,19.47
697.0,18.09
698.0,17.84
699.0,16.2
700.0,13.29
701.0,13.1
702.0,14.49
703.0,16.39
704.0,18.04
705.0,18.57
706.0,17.94
707.0,15.38
708.0,15.69
709.0,16.71
710.0,16.97
711.0,17.43
712.0,17.83
713.0,17.7
714.0,31.52
715.0,41.03
716.0,28.26
717.0,25.47
718.0,26.08
719.0,22.1
720.0,21.72
721.0,21.56
722.0,20.3
723.0,20.74
724.0,22.06
725.0,22.16
726.0,27.01
727.0,47.07
728.0,52.68
729.0,35.57
730.0,26.45
731.0,22.4
732.0,19.77
733.0,19.54
734.0,18.57
735.0,17.87
736.0,17.53
737.0,18.66
738.0,27.43
739.0,33.48
740.0,22.54
741.0,21.01
742.0,21.06
743.0,20.33
744.0,18.45
745.0,17.69
746.0,17.14
747.0,16.85
748.0,17.22
749.0,17.09
750.0,18.32
751.0,35.61
752.0,32.0
753.0,19.97
754.0,13.71
755.0,13.06
756.0,13.49
757.0,14.49
758.0,15.74
759.0,16.11
760.0,16.66
761.0,18.63
762.0,39.98
763.0,34.37
764.0,21.37
765.0,20.05
766.0,18.3
767.0,18.64
768.0,16.92
769.0,17.83
770.0,17.68
771.0,17.11
772.0,17.65
773.0,18.92
774.0,21.34
775.0,33.0
776.0,33.03
777.0,28.62
778.0,24.8
779.0,21.62
780.0,19.31
781.0,19.66
782.0,19.43
783.0,18.73
784.0,16.97
785.0,18.18
786.0,24.9
787.0,27.7
788.0,19.8
789.0,16.91
790.0,15.86
791.0,9.82
792.0,4.42
793.0,1.5
794.0,0.71
795.0,1.52
796.0,3.2
797.0,3.93
