hours,price
1.0,14.54
2.0,9.62
3.0,7.7
4.0,9.74
5.0,10.98
6.0,14.06
7.0,20.47
8.0,20.63
9.0,19.6
10.0,17.88
11.0,18.22
12.0,16.91
13.0,16.27
14.0,16.46
15.0,17.26
16.0,16.72
17.0,18.83
18.0,34.08
19.0,38.29
20.0,30.42
21.0,24.68
22.0,24.72
23.0,24.21
24.0,23.89
25.0,27.99
26.0,30.11
27.0,26.85
28.0,29.49
29.0,24.89
30.0,30.58
31.0,46.42
32.0,39.77
33.0,30.35
34.0,18.65
35.0,15.56
36.0,15.01
37.0,14.93
38.0,15.46
39.0,15.63
40.0,18.27
41.0,29.89
42.0,75.06
43.0,118.3
44.0,123.67
45.0,112.11
46.0,83.46
47.0,68.23
48.0,64.76
49.0,81.75
50.0,83.65
51.0,78.01
52.0,80.86
53.0,87.33
54.0,100.94
55.0,121.28
56.0,117.09
57.0,83.46
58.0,34.38
59.0,23.85
60.0,21.46
61.0,19.99
62.0,18.84
63.0,19.29
64.0,20.56
65.0,30.88
66.0,98.57
67.0,116.67
68.0,67.51
69.0,71.36
70.0,46.87
71.0,35.13
72.0,29.53
73.0,15.39
74.0,11.86
75.0,15.35
76.0,18.8
77.0,33.44
78.0,36.51
79.0,64.91
80.0,69.39
81.0,30.92
82.0,16.25
83.0,15.89
84.0,15.9
85.0,16.32
86.0,17.25
87.0,17.46
88.0,16.74
89.0,20.91
90.0,86.04
91.0,104.32
92.0,81.43
93.0,75.76
94.0,52.11
95.0,45.27
96.0,39.3
97.0,39.9
98.0,37.88
99.0,39.39
100.0,55.21
101.0,71.36
102.0,83.71
103.0,118.46
104.0,96.36
105.0,59.65
106.0,23.18
107.0,20.37
108.0,18.59
109.0,17.74
110.0,17.49
111.0,14.43
112.0,13.39
113.0,16.12
114.0,36.09
115.0,50.0
116.0,75.1
117.0,74.59
118.0,64.75
119.0,54.17
120.0,58.0
121.0,72.23
122.0,71.31
123.0,70.7
124.0,70.28
125.0,76.17
126.0,105.33
127.0,157.26
128.0,150.66
129.0,38.37
130.0,20.7
131.0,18.6
132.0,17.39
133.0,16.57
134.0,16.1
135.0,15.28
