hours,price
1.0,58.00838
2.0,60.41054
3.0,57.17267
4.0,58.03505
5.0,60.1266
6.0,74.5603
7.0,82.03649
8.0,74.88901
9.0,52.66963
10.0,38.63923
11.0,33.88713
12.0,26.84893
13.0,26.1001
14.0,28.17873
15.0,31.21966
16.0,53.25441
17.0,80.64292
18.0,90.06798
19.0,90.02976
20.0,86.40224
21.0,80.87137
22.0,77.52744
23.0,74.16818
24.0,64.39541
25.0,64.65477
26.0,62.35476
27.0,61.96658
28.0,61.60719
29.0,63.68342
30.0,72.30702
31.0,74.44228
32.0,70.24627
33.0,51.6332
34.0,38.61378
35.0,26.83242
36.0,24.31595
37.0,20.74205
38.0,22.76449
39.0,29.96123
40.0,51.28301
41.0,75.15284
42.0,89.74649
43.0,87.05
44.0,85.79846
45.0,81.85623
46.0,75.02434
47.0,69.65678
48.0,67.00691
49.0,65.33131
50.0,64.68311
51.0,64.27854
52.0,63.69638
53.0,65.70876
54.0,76.461
55.0,101.7658
56.0,97.96235
57.0,72.35949
58.0,58.52853
59.0,49.02282
60.0,47.87747
61.0,47.63198
62.0,46.47333
63.0,48.6585
64.0,58.95503
65.0,88.10105
66.0,117.78892
67.0,105.12653
68.0,95.83381
69.0,86.79203
70.0,76.08964
71.0,73.09923
72.0,65.34649
73.0,53.23577
74.0,51.00529
75.0,50.40105
76.0,50.03886
77.0,50.75907
78.0,59.05826
79.0,81.9359
80.0,77.78812
81.0,58.13118
82.0,47.85583
83.0,37.2609
84.0,31.46299
85.0,30.8703
86.0,32.03073
87.0,37.49328
88.0,55.63941
89.0,77.81303
90.0,91.67832
91.0,85.8563
92.0,79.43512
93.0,77.49588
94.0,68.93529
95.0,60.45724
96.0,57.77398
97.0,51.4745
98.0,48.94019
99.0,48.00316
100.0,47.36229
101.0,47.74325
102.0,55.48551
103.0,76.53858
104.0,76.97274
105.0,56.04763
106.0,44.13635
107.0,37.24601
108.0,35.02396
109.0,32.36373
110.0,33.27453
111.0,37.86882
112.0,56.48325
113.0,79.43776
114.0,90.56648
115.0,84.0912
116.0,78.53261
117.0,75.35196
118.0,69.91833
119.0,61.67225
120.0,54.91229
121.0,47.13674
122.0,45.88957
123.0,45.77979
124.0,45.89066
125.0,47.28375
126.0,55.72358
127.0,71.81868
128.0,73.35721
129.0,54.1677
130.0,47.74529
131.0,40.48626
132.0,35.44934
133.0,34.51011
134.0,33.86427
135.0,36.28051
136.0,51.37037
137.0,69.21241
138.0,82.75275
139.0,73.83438
140.0,69.58945
141.0,64.91947
142.0,60.26651
143.0,56.95254
144.0,52.75426
145.0,49.27082
146.0,47.52949
147.0,45.27956
148.0,44.61907
149.0,44.4299
150.0,52.05089
151.0,65.0
152.0,60.49943
153.0,50.74659
154.0,45.47371
155.0,39.42368
156.0,33.54746
157.0,33.40608
158.0,31.85882
159.0,38.08979
160.0,46.83168
161.0,58.62389
162.0,68.9251
163.0,64.58879
164.0,59.92708
165.0,57.96322
166.0,55.18431
167.0,52.32794
168.0,51.27309
169.0,43.49194
170.0,41.84672
171.0,42.10486
172.0,41.79877
173.0,41.77653
174.0,44.14065
175.0,58.69681
176.0,60.16448
177.0,46.97194
178.0,39.63992
179.0,36.43027
180.0,29.79273
181.0,26.16161
182.0,23.51429
183.0,25.68893
184.0,40.07533
185.0,60.35444
186.0,73.34236
187.0,73.84204
188.0,64.89326
189.0,62.49383
190.0,57.77614
191.0,52.84934
192.0,46.74756
193.0,45.06518
194.0,45.78549
195.0,44.68664
196.0,45.50419
197.0,45.81637
198.0,49.40718
199.0,56.5456
200.0,51.68193
201.0,36.39662
202.0,17.53718
203.0,13.56993
204.0,10.05454
205.0,9.57872
206.0,10.88393
207.0,13.2532
208.0,37.74657
209.0,59.84683
210.0,73.44902
211.0,71.2703
212.0,62.04159
213.0,60.6603
214.0,56.54
215.0,50.77871
216.0,48.97468
217.0,47.60701
218.0,46.88
219.0,46.56681
220.0,46.28435
221.0,48.92442
222.0,54.43699
223.0,75.48842
224.0,80.23347
225.0,57.21546
226.0,50.87384
227.0,46.74977
228.0,44.27726
229.0,43.25438
230.0,41.82342
231.0,45.48916
232.0,55.67391
233.0,72.7314
234.0,91.0
235.0,83.32507
236.0,75.41
237.0,69.2
238.0,61.58569
239.0,57.58371
240.0,52.1083
241.0,45.54472
242.0,45.06224
243.0,44.22394
244.0,44.24565
245.0,45.3231
246.0,51.59144
247.0,64.62999
248.0,72.14675
249.0,50.81678
250.0,37.73012
251.0,33.84104
252.0,29.18024
253.0,26.97987
254.0,29.16661
255.0,32.7054
256.0,44.9277
257.0,66.64897
258.0,81.33296
259.0,72.68931
260.0,68.08989
261.0,63.3702
262.0,59.29653
263.0,53.21162
264.0,49.65824
265.0,45.78245
266.0,45.1343
267.0,44.46046
268.0,44.36078
269.0,45.92639
270.0,55.25397
271.0,67.00318
272.0,70.30186
273.0,50.36708
274.0,38.51988
275.0,35.91454
276.0,30.55879
277.0,30.34406
278.0,32.53077
279.0,39.09674
280.0,48.26975
281.0,65.25477
282.0,80.02261
283.0,74.05716
284.0,68.74337
285.0,63.70186
286.0,58.30584
287.0,53.88908
288.0,49.98271
289.0,47.0929
290.0,46.74906
291.0,45.48026
292.0,45.9761
293.0,47.20049
294.0,55.4856
295.0,66.77058
296.0,75.04608
297.0,58.9377
298.0,51.11934
299.0,47.68086
300.0,44.96203
301.0,44.54605
302.0,44.64872
303.0,46.49858
304.0,52.44168
305.0,65.28326
306.0,78.27218
307.0,71.66931
308.0,65.92033
309.0,60.91526
310.0,55.68837
311.0,51.25492
312.0,49.47454
313.0,46.14161
314.0,45.76918
315.0,44.52249
316.0,45.58648
317.0,46.7325
318.0,52.86966
319.0,62.11305
320.0,68.138
321.0,51.66918
322.0,46.06783
323.0,42.1853
324.0,38.50041
325.0,36.26797
326.0,36.28074
327.0,38.97704
328.0,46.99607
329.0,60.14856
330.0,72.22486
331.0,67.466
332.0,60.83464
333.0,57.13051
334.0,53.18916
335.0,51.11165
336.0,49.68549
337.0,45.23819
338.0,44.60844
339.0,43.37211
340.0,44.25464
341.0,46.16565
342.0,49.36123
343.0,57.3815
344.0,57.74844
345.0,50.38882
346.0,45.85383
347.0,42.41269
348.0,41.46293
349.0,39.68322
350.0,39.10461
351.0,40.96396
352.0,49.70825
353.0,58.05912
354.0,70.73792
355.0,70.56353
356.0,61.75699
357.0,58.0
358.0,54.45379
359.0,52.38357
360.0,50.482
361.0,50.35013
362.0,47.30299
363.0,46.30116
364.0,46.53589
365.0,46.65669
366.0,49.29736
367.0,54.4496
368.0,51.6636
369.0,41.78559
370.0,23.85886
371.0,12.58174
372.0,20.10666
373.0,20.99089
374.0,21.63137
375.0,27.3585
376.0,41.29107
377.0,59.91512
378.0,71.13482
379.0,71.70218
380.0,62.54925
381.0,60.96475
382.0,55.48292
383.0,53.34413
384.0,49.38672
385.0,50.04662
386.0,47.40231
387.0,46.61186
388.0,46.43627
389.0,47.7446
390.0,51.10375
391.0,59.58972
392.0,59.14771
393.0,51.21389
394.0,45.68773
395.0,43.33105
396.0,41.40429
397.0,41.31055
398.0,41.48213
399.0,43.16403
400.0,48.73309
401.0,61.33578
402.0,75.86197
403.0,70.58071
404.0,64.12619
405.0,59.8599
406.0,54.63338
407.0,51.92894
408.0,49.21808
409.0,48.0055
410.0,46.52674
411.0,45.27405
412.0,44.87533
413.0,45.15938
414.0,51.27169
415.0,66.09521
416.0,67.66189
417.0,51.69813
418.0,44.92957
419.0,39.85643
420.0,35.97478
421.0,33.86041
422.0,31.7183
423.0,33.59131
424.0,43.26554
425.0,59.05858
426.0,73.09754
427.0,71.77811
428.0,64.79351
429.0,61.23409
430.0,56.1216
431.0,53.6727
432.0,51.11987
433.0,45.39046
434.0,45.44049
435.0,44.77954
436.0,44.30308
437.0,45.76314
438.0,50.15689
439.0,68.92745
440.0,70.67476
441.0,48.51788
442.0,42.70952
443.0,38.55882
444.0,33.96956
445.0,31.40078
446.0,32.1159
447.0,37.99312
448.0,45.8302
449.0,64.55302
450.0,80.3657
451.0,78.66222
452.0,69.4281
453.0,62.44361
454.0,56.21801
455.0,52.73507
456.0,51.1522
457.0,44.88106
458.0,43.94369
459.0,43.44653
460.0,43.12547
461.0,45.84414
462.0,51.88675
463.0,68.83512
464.0,68.05329
465.0,46.70765
466.0,36.73354
467.0,28.31882
468.0,24.00758
469.0,22.44335
470.0,22.16546
471.0,25.09864
472.0,40.23799
473.0,61.31329
474.0,75.915
475.0,71.47525
476.0,65.56489
477.0,58.7507
478.0,54.4443
479.0,51.71636
480.0,50.56187
481.0,45.33123
482.0,42.79441
483.0,41.62526
484.0,40.39806
485.0,41.97657
486.0,47.61242
487.0,65.02561
488.0,61.79089
489.0,45.47695
490.0,32.84216
491.0,28.53108
492.0,23.98909
493.0,22.02798
494.0,19.63233
495.0,21.55835
496.0,37.17051
497.0,53.33268
498.0,65.73345
499.0,60.79956
500.0,55.63037
501.0,52.305
502.0,50.52254
503.0,47.06619
504.0,45.94691
505.0,45.57742
506.0,42.74659
507.0,41.66787
508.0,41.96354
509.0,44.72382
510.0,45.80758
511.0,52.99893
512.0,47.80425
513.0,34.18884
514.0,18.7322
515.0,12.76348
516.0,7.46851
517.0,5.43954
518.0,3.80036
519.0,7.68214
520.0,29.6811
521.0,50.11243
522.0,62.93845
523.0,64.21416
524.0,57.41744
525.0,54.50142
526.0,51.65358
527.0,48.07761
528.0,45.48631
529.0,45.88559
530.0,44.58724
531.0,44.56918
532.0,43.63801
533.0,44.83197
534.0,47.78057
535.0,52.91787
536.0,46.64346
537.0,35.1892
538.0,13.59483
539.0,9.46054
540.0,6.0666
541.0,4.70808
542.0,4.85422
543.0,8.21584
544.0,31.41451
545.0,53.63855
546.0,66.64591
547.0,68.13365
548.0,59.15586
549.0,55.17898
550.0,50.85195
551.0,45.87773
552.0,43.86704
553.0,44.67041
554.0,43.25886
555.0,43.13363
556.0,42.50096
557.0,44.81399
558.0,49.47715
559.0,67.98109
560.0,63.96885
561.0,45.74767
562.0,38.40442
563.0,33.17704
564.0,25.395
565.0,22.19905
566.0,20.96909
567.0,24.03258
568.0,39.69754
569.0,57.92747
570.0,79.35987
571.0,71.69237
572.0,64.51811
573.0,58.26683
574.0,52.91399
575.0,51.24991
576.0,47.86254
577.0,42.1869
578.0,41.58511
579.0,40.30363
580.0,40.35643
581.0,41.54204
582.0,47.67868
583.0,63.58456
584.0,61.47
585.0,43.38052
586.0,38.56434
587.0,31.34949
588.0,23.11261
589.0,19.89798
590.0,18.98361
591.0,21.43593
592.0,35.58547
593.0,53.33936
594.0,72.11844
595.0,67.95516
596.0,61.96323
597.0,55.82953
598.0,50.81227
599.0,48.9007
600.0,45.18898
601.0,44.6574
602.0,43.77737
603.0,43.48747
604.0,43.30134
605.0,45.67955
606.0,52.0
607.0,69.52473
608.0,63.08
609.0,45.2397
610.0,40.99938
611.0,31.13062
612.0,27.18135
613.0,23.45754
614.0,22.35122
615.0,25.4218
616.0,39.49533
617.0,54.5753
618.0,70.43
619.0,66.9136
620.0,61.60987
621.0,56.18223
622.0,51.83207
623.0,49.26591
624.0,45.91525
625.0,47.88934
626.0,46.21678
627.0,45.98615
628.0,44.83157
629.0,48.0105
630.0,53.93454
631.0,73.4839
632.0,66.49872
633.0,45.35796
634.0,36.83751
635.0,29.35945
636.0,24.41639
637.0,21.56193
638.0,19.1565
639.0,22.64849
640.0,36.17038
641.0,54.89211
642.0,70.75201
643.0,69.3289
644.0,63.64931
645.0,62.18564
646.0,54.92099
647.0,51.33754
648.0,46.78857
649.0,59.95067
650.0,44.51818
651.0,44.50224
652.0,44.65885
653.0,46.11376
654.0,55.60665
655.0,72.39244
656.0,65.8149
657.0,45.8949
658.0,39.12906
659.0,34.81948
660.0,29.02662
661.0,28.00605
662.0,25.49672
663.0,28.3463
664.0,40.83458
665.0,53.00042
666.0,62.80246
667.0,65.76627
668.0,59.77324
669.0,58.31078
670.0,54.3566
671.0,50.03704
672.0,47.7933
673.0,52.36152
674.0,48.57869
675.0,47.56431
676.0,48.04487
677.0,49.89378
678.0,55.56099
679.0,65.29626
680.0,59.54819
681.0,50.43924
682.0,46.31104
683.0,43.1243
684.0,38.32611
685.0,34.91481
686.0,35.25543
687.0,37.47216
688.0,45.10764
689.0,57.63036
690.0,67.98187
691.0,72.20528
692.0,67.41065
693.0,59.68983
694.0,56.04645
695.0,53.33084
696.0,50.32546
697.0,47.63028
698.0,47.08417
699.0,46.80871
700.0,47.38895
701.0,50.48797
702.0,53.34222
703.0,60.13461
704.0,52.33908
705.0,34.80223
706.0,13.06956
707.0,6.50121
708.0,5.0717
709.0,5.62981
710.0,6.24411
711.0,9.59133
712.0,27.88896
713.0,56.66638
714.0,71.02918
715.0,75.25737
716.0,66.72513
717.0,59.18696
718.0,54.52559
719.0,51.82511
720.0,49.14896
721.0,46.21411
722.0,45.73152
723.0,45.49234
724.0,45.63218
725.0,47.53604
726.0,56.57889
727.0,72.10719
728.0,67.25016
729.0,51.622
730.0,46.12601
731.0,42.91875
732.0,40.50101
733.0,37.81564
734.0,35.66057
735.0,37.20524
736.0,45.25844
737.0,56.20562
738.0,76.49154
739.0,73.19034
740.0,64.27691
741.0,59.56614
742.0,54.69903
743.0,51.94804
744.0,49.07877
745.0,47.8267
746.0,47.12256
747.0,46.45324
748.0,46.70743
749.0,47.12748
750.0,51.75939
751.0,72.0
752.0,74.63
753.0,55.86951
754.0,43.80596
755.0,39.6977
756.0,34.20478
757.0,30.77759
758.0,28.56047
759.0,31.0509
760.0,41.58733
761.0,57.7094
762.0,78.49907
763.0,77.70601
764.0,69.45037
765.0,68.13688
766.0,63.04474
767.0,52.13885
768.0,51.40558
769.0,57.43532
770.0,56.73671
771.0,56.24342
772.0,56.48105
773.0,58.05606
774.0,65.58768
775.0,83.82683
776.0,86.04394
777.0,55.86
778.0,44.65921
779.0,36.11595
780.0,30.46073
781.0,23.34708
782.0,23.44106
783.0,25.90516
784.0,40.15191
785.0,66.63692
786.0,83.36059
787.0,95.84
788.0,82.83929
789.0,76.93749
790.0,71.51393
791.0,59.84511
792.0,56.68189
793.0,63.52621
794.0,62.99009
795.0,62.05559
796.0,62.12952
797.0,64.61025
798.0,72.02435
799.0,104.41988
800.0,86.80299
801.0,63.43491
802.0,47.30458
803.0,43.69044
804.0,34.54052
805.0,34.6124
806.0,33.64602
807.0,35.65618
808.0,50.72261
809.0,74.69995
810.0,99.82161
811.0,113.37
812.0,96.92642
813.0,93.68765
814.0,86.07788
815.0,74.56163
816.0,70.40013
817.0,56.39031
818.0,55.03256
